user_id,companion,travel_style,budget,duration_days,like_keywords,dislike_keywords,crowd_tolerance,age,gender,start_date
U0088,solo,Cultural,700000,5,"['Clean facilities', 'Comfortable bedding', 'Value for money']","['Weak water pressure', 'Slow service']",0.52,32,Female,2025-10-19
U0089,solo,Activity,1300000,2,"['Generous portions', 'Friendly service', 'Ocean view']","['High price', 'Lack of privacy']",0.72,55,Female,2025-02-18
U0090,couple,Cultural,1100000,4,"['Family-friendly', 'Pleasant atmosphere', 'Quick service']","['High price', 'Small portions']",0.66,50,Both,2025-11-04
U0091,friends,Foodie,500000,5,"['Generous portions', 'Convenient amenities', 'Delicious food']","['Poor cleanliness', 'Lack of privacy']",0.11,25,Male,2025-03-10
U0092,couple,Activity,800000,4,"['Delicious coffee', 'Cleanliness', 'Scenic views']","['Unfriendly staff', 'Hygiene issues']",0.33,31,Both,2025-05-31
U0093,couple,Healing,500000,5,"['Good value', 'Satisfying portions', 'High-quality meat']","['Outdated facilities', 'Small portions']",0.91,48,Both,2025-12-14
U0094,solo,Cultural,300000,2,"['Tender meat', 'Ocean view', 'Family-friendly']","['Salty food', 'Insect presence']",0.38,39,Female,2025-08-04
U0095,solo,Cultural,200000,2,"['Quick service', 'Authentic taste', 'Tender meat']","['Lack of privacy', 'Weak water pressure']",0.42,62,Female,2025-02-12
U0096,friends,Foodie,500000,1,"['Authentic taste', 'Fresh seafood', 'Comfortable bedding']","['Poor food quality', 'Small room size']",0.47,18,Female,2025-11-11
U0097,couple,Activity,400000,2,"['Convenient amenities', 'Delicious food', 'Clean facilities']","['Slow service', 'Poor value']",0.37,59,Both,2025-01-03
U0098,couple,Healing,300000,3,"['High-quality meat', 'Spicy flavor', 'Quiet atmosphere']","['Poor cleanliness', 'Overpriced']",0.59,27,Both,2025-05-11
U0099,couple,Healing,500000,2,"['Attentive staff', 'Pleasant atmosphere', 'Convenient amenities']","['Poor value', 'Outdated facilities']",0.85,34,Both,2025-05-14
U0100,couple,Activity,1700000,5,"['Delicious food', 'Ocean view', 'Value for money']","['Unfriendly staff', 'Insect presence']",0.57,23,Both,2025-08-31
U0101,friends,Foodie,1500000,2,"['Attentive staff', 'Large portions', 'Fresh seafood']","['Noise', 'Weak water pressure']",0.38,19,Female,2025-09-26
U0102,solo,Cultural,400000,1,"['Clean facilities', 'Good value', 'Pleasant atmosphere']","['Noise', 'Unfriendly staff']",0.48,39,Female,2025-10-09
U0103,friends,Activity,500000,3,"['Pleasant atmosphere', 'Beautiful view', 'Convenient amenities']","['Bland taste', 'Poor food quality']",0.93,62,Female,2025-06-07
U0104,solo,Foodie,800000,3,"['Ocean view', 'Clean facilities', 'Affordable prices']","['Long wait', 'Lack of privacy']",0.1,41,Male,2025-12-02
U0105,friends,Activity,300000,2,"['Scenic views', 'Clean room', 'Value for money']","['Small room size', 'Lack of privacy']",0.57,28,Male,2025-05-16
U0106,couple,Cultural,500000,2,"['High-quality meat', 'Family-friendly', 'Pleasant atmosphere']","['Salty food', 'Hygiene issues']",0.58,65,Both,2025-04-08
U0107,friends,Activity,100000,1,"['Friendly service', 'Clean room', 'Fresh seafood']","['Poor soundproofing', 'Lack of privacy']",0.3,21,Male,2025-06-23
U0108,friends,Healing,300000,2,"['Convenient amenities', 'Generous portions', 'Attentive staff']","['Small portions', 'High price']",0.58,52,Female,2025-01-05
U0109,solo,Cultural,700000,3,"['Quick service', 'Generous portions', 'Clean facilities']","['High price', 'Small room size']",0.9,49,Female,2025-09-09
U0110,friends,Healing,200000,2,"['Good value', 'Tasty food', 'Clean room']","['Small portions', 'Unpleasant taste']",0.66,55,Male,2025-07-25
U0111,solo,Foodie,800000,3,"['Beautiful view', 'Affordable prices', 'Clean facilities']","['Long wait', 'Unpleasant taste']",0.51,65,Male,2025-05-12
U0112,solo,Activity,1100000,3,"['Scenic views', 'Fresh seafood', 'Delicious coffee']","['Small portions', 'Overpriced']",0.04,31,Female,2025-04-21
U0113,solo,Cultural,400000,2,"['Value for money', 'Cleanliness', 'Convenient amenities']","['Limited menu', 'Poor soundproofing']",0.43,60,Female,2025-12-16
U0114,friends,Foodie,800000,2,"['Spicy flavor', 'Tasty food', 'Tender meat']","['Outdated facilities', 'Poor value']",0.98,43,Female,2025-10-06
U0115,couple,Cultural,600000,2,"['Clean room', 'Quick service', 'Generous portions']","['Poor food quality', 'Unpleasant taste']",0.12,45,Both,2025-01-21
U0116,couple,Cultural,600000,3,"['Satisfying portions', 'Variety of dishes', 'Beautiful view']","['Cramped space', 'Bland taste']",0.4,61,Both,2025-03-11
U0117,couple,Activity,1000000,5,"['Well-maintained facilities', 'Generous portions', 'Ocean view']","['Small room size', 'Hygiene issues']",0.05,33,Both,2025-09-22
U0118,couple,Foodie,1700000,2,"['Quick service', 'Large portions', 'Good value']","['Limited options', 'Insect presence']",0.48,54,Both,2025-01-04
U0119,couple,Healing,800000,3,"['Attentive staff', 'Comfortable bedding', 'Tender meat']","['Insect presence', 'Unpleasant taste']",0.95,31,Both,2025-09-23
U0120,couple,Cultural,300000,1,"['Scenic views', 'Quiet atmosphere', 'Attentive staff']","['Long wait', 'Small portions']",0.62,49,Both,2025-08-11
U0121,solo,Healing,500000,2,"['Friendly service', 'Value for money', 'Quiet atmosphere']","['Limited amenities', 'Cramped space']",0.21,41,Female,2025-08-25
U0122,friends,Healing,400000,2,"['Large portions', 'Authentic taste', 'High-quality meat']","['Limited amenities', 'Small portions']",0.56,21,Male,2025-11-11
U0123,couple,Foodie,1800000,2,"['Tender meat', 'Spicy flavor', 'Quick service']","['Outdated facilities', 'Bland taste']",0.89,49,Both,2025-01-20
U0124,couple,Activity,200000,1,"['Authentic taste', 'High-quality meat', 'Scenic views']","['Overpriced', 'Long wait']",0.27,18,Both,2025-05-24
U0125,couple,Cultural,1400000,4,"['Delicious food', 'Clean room', 'Attentive staff']","['Cramped space', 'Poor soundproofing']",0.4,45,Both,2025-06-24
U0126,friends,Foodie,400000,2,"['High-quality meat', 'Clean facilities', 'Satisfying portions']","['Bland taste', 'Poor food quality']",0.38,24,Female,2025-10-30
U0127,friends,Cultural,700000,3,"['Family-friendly', 'Value for money', 'Comfortable bedding']","['Small room size', 'Limited menu']",0.14,20,Male,2025-01-02
U0128,solo,Healing,3500000,5,"['Friendly service', 'Good value', 'Spicy flavor']","['Small room size', 'Poor value']",0.8,54,Male,2025-07-21
U0129,friends,Activity,200000,2,"['Delicious coffee', 'Scenic views', 'Variety of dishes']","['Poor food quality', 'Insect presence']",0.42,64,Female,2025-02-15
U0130,solo,Healing,400000,1,"['Quiet atmosphere', 'Authentic taste', 'Ocean view']","['High price', 'Small room size']",0.25,55,Male,2025-05-12
U0131,solo,Foodie,400000,2,"['Tender meat', 'Beautiful view', 'Clean facilities']","['Cramped space', 'Outdated facilities']",0.05,51,Female,2025-06-27
U0132,solo,Foodie,300000,2,"['Spicy flavor', 'Satisfying portions', 'Pleasant atmosphere']","['Slow service', 'High price']",0.44,38,Female,2025-12-04
U0133,solo,Cultural,1200000,5,"['Tender meat', 'Pleasant atmosphere', 'Clean facilities']","['Unfriendly staff', 'High price']",0.42,33,Female,2025-10-28
U0134,friends,Foodie,2300000,3,"['Pleasant atmosphere', 'Generous portions', 'Ocean view']","['Noise', 'Long wait']",0.52,23,Female,2025-04-29
U0135,friends,Activity,400000,1,"['Spicy flavor', 'Family-friendly', 'Comfortable bedding']","['Outdated facilities', 'Bland taste']",0.26,23,Male,2025-02-12
U0136,solo,Foodie,200000,1,"['Beautiful view', 'Pleasant atmosphere', 'Family-friendly']","['Salty food', 'Poor value']",0.34,22,Male,2025-02-10
U0137,solo,Healing,400000,2,"['Quiet atmosphere', 'Ocean view', 'Family-friendly']","['Poor cleanliness', 'Slow service']",0.01,51,Male,2025-06-18
U0138,couple,Cultural,1500000,3,"['Clean room', 'High-quality meat', 'Delicious food']","['Poor soundproofing', 'Limited options']",0.86,24,Both,2025-07-15
U0139,solo,Healing,1500000,2,"['Delicious coffee', 'Comfortable bedding', 'Variety of dishes']","['Limited options', 'Cramped space']",0.0,31,Male,2025-12-20
U0140,couple,Cultural,800000,2,"['Friendly service', 'Clean facilities', 'Scenic views']","['Overpriced', 'Long wait']",0.33,39,Both,2025-02-05
U0141,couple,Foodie,1400000,2,"['Good value', 'Family-friendly', 'High-quality meat']","['Small portions', 'Salty food']",0.62,41,Both,2025-06-06
U0142,friends,Cultural,500000,2,"['Delicious coffee', 'Quick service', 'Tender meat']","['Unpleasant taste', 'Limited amenities']",0.49,39,Male,2025-02-17
U0143,solo,Cultural,1500000,4,"['Family-friendly', 'Tender meat', 'Beautiful view']","['Limited amenities', 'Small room size']",0.26,54,Female,2025-05-27
U0144,solo,Cultural,700000,3,"['Beautiful view', 'Pleasant atmosphere', 'Spicy flavor']","['Poor cleanliness', 'Overpriced']",0.54,61,Female,2025-09-11
U0145,friends,Foodie,3000000,4,"['Tasty food', 'Spicy flavor', 'Convenient amenities']","['Limited menu', 'Noise']",0.89,30,Female,2025-10-22
U0146,couple,Activity,500000,5,"['Cleanliness', 'Large portions', 'Comfortable bedding']","['Limited options', 'Slow service']",0.93,18,Both,2025-12-03
U0147,friends,Healing,700000,2,"['Tasty food', 'Spicy flavor', 'Attentive staff']","['Noise', 'High price']",0.27,49,Male,2025-11-06
U0148,friends,Cultural,1900000,2,"['Delicious coffee', 'Satisfying portions', 'Spicy flavor']","['Cramped space', 'Lack of privacy']",0.76,57,Female,2025-05-11
U0149,couple,Healing,1100000,3,"['Tasty food', 'Cleanliness', 'High-quality meat']","['Poor cleanliness', 'Poor value']",0.75,47,Both,2025-05-01
U0150,solo,Foodie,400000,1,"['Family-friendly', 'Clean facilities', 'Delicious food']","['Poor value', 'Salty food']",0.63,56,Male,2025-06-28
U0151,friends,Foodie,700000,3,"['Friendly service', 'Tasty food', 'Ocean view']","['Unfriendly staff', 'Unpleasant taste']",0.2,51,Female,2025-10-04
U0152,solo,Healing,400000,2,"['Delicious coffee', 'Quick service', 'Ocean view']","['Small room size', 'Limited amenities']",0.74,31,Male,2025-09-21
U0153,friends,Activity,200000,1,"['Friendly service', 'Fresh seafood', 'Good value']","['Long wait', 'Weak water pressure']",0.4,22,Male,2025-08-07
U0154,couple,Healing,200000,2,"['Cleanliness', 'Quick service', 'Large portions']","['Long wait', 'Poor cleanliness']",0.5,34,Both,2025-10-17
U0155,friends,Healing,400000,2,"['Beautiful view', 'Good value', 'Quiet atmosphere']","['Poor value', 'Noise']",0.96,64,Female,2025-07-29
U0156,friends,Foodie,300000,3,"['Fresh seafood', 'Convenient amenities', 'Delicious food']","['Long wait', 'Insect presence']",0.07,53,Male,2025-08-06
U0157,friends,Foodie,100000,1,"['Pleasant atmosphere', 'Authentic taste', 'Well-maintained facilities']","['Unpleasant taste', 'Poor soundproofing']",0.77,43,Female,2025-04-16
U0158,friends,Cultural,600000,3,"['Quiet atmosphere', 'Value for money', 'Attentive staff']","['Poor cleanliness', 'Limited amenities']",0.32,41,Male,2025-12-03
U0159,solo,Foodie,700000,3,"['Well-maintained facilities', 'Beautiful view', 'Large portions']","['Outdated facilities', 'Small room size']",0.77,18,Male,2025-07-31
U0160,couple,Foodie,400000,3,"['Well-maintained facilities', 'Delicious coffee', 'Tender meat']","['Small room size', 'Bland taste']",0.27,49,Both,2025-05-22
U0161,couple,Foodie,600000,3,"['Convenient amenities', 'Clean facilities', 'Tender meat']","['Poor cleanliness', 'Unfriendly staff']",0.24,58,Both,2025-10-03
U0162,friends,Cultural,100000,1,"['Tender meat', 'Generous portions', 'Quiet atmosphere']","['Unfriendly staff', 'Unpleasant taste']",0.14,53,Male,2025-02-16
U0163,friends,Activity,100000,1,"['Tender meat', 'Clean facilities', 'Authentic taste']","['Poor soundproofing', 'Overpriced']",0.41,47,Male,2025-02-18
U0164,solo,Activity,200000,2,"['Clean facilities', 'Attentive staff', 'Large portions']","['Limited amenities', 'Cramped space']",0.46,34,Male,2025-03-27
U0165,solo,Healing,300000,1,"['Authentic taste', 'High-quality meat', 'Quick service']","['Weak water pressure', 'Slow service']",0.79,25,Female,2025-04-29
U0166,friends,Healing,1100000,3,"['Ocean view', 'Cleanliness', 'Delicious food']","['Slow service', 'Insect presence']",0.43,29,Female,2025-10-18
U0167,friends,Cultural,700000,2,"['Satisfying portions', 'Convenient amenities', 'Quiet atmosphere']","['Poor food quality', 'Overpriced']",0.81,49,Female,2025-06-03
U0168,solo,Foodie,1700000,2,"['Clean facilities', 'Friendly service', 'Value for money']","['Long wait', 'Small portions']",0.95,45,Male,2025-02-14
U0169,friends,Cultural,100000,1,"['Large portions', 'Good value', 'Friendly service']","['High price', 'Limited amenities']",0.79,48,Female,2025-05-24
U0170,friends,Cultural,500000,2,"['Large portions', 'Attentive staff', 'Well-maintained facilities']","['Small portions', 'Long wait']",0.33,48,Female,2025-10-19
U0171,solo,Foodie,400000,2,"['Fresh seafood', 'Convenient amenities', 'Generous portions']","['Limited amenities', 'Poor soundproofing']",1.0,46,Female,2025-09-18
U0172,solo,Activity,300000,2,"['Tender meat', 'Variety of dishes', 'Convenient amenities']","['Small room size', 'Overpriced']",0.26,30,Female,2025-10-17
U0173,friends,Healing,400000,2,"['Attentive staff', 'Beautiful view', 'Family-friendly']","['Overpriced', 'Insect presence']",0.19,34,Male,2025-08-23
U0174,couple,Foodie,800000,2,"['Tasty food', 'Friendly service', 'Spicy flavor']","['Cramped space', 'Long wait']",0.95,23,Both,2025-11-15
U0175,couple,Foodie,600000,2,"['Quick service', 'Well-maintained facilities', 'Delicious food']","['Bland taste', 'Slow service']",0.62,55,Both,2025-05-17
U0176,couple,Activity,500000,2,"['Quiet atmosphere', 'Well-maintained facilities', 'Generous portions']","['Overpriced', 'Unpleasant taste']",0.93,52,Both,2025-05-09
U0177,solo,Healing,1400000,4,"['Ocean view', 'Authentic taste', 'Delicious coffee']","['Insect presence', 'Limited menu']",0.65,46,Female,2025-08-02
U0178,couple,Cultural,600000,2,"['Spicy flavor', 'Value for money', 'Quiet atmosphere']","['Limited options', 'Slow service']",0.16,21,Both,2025-10-21
U0179,friends,Healing,400000,3,"['Tasty food', 'Satisfying portions', 'Fresh seafood']","['Bland taste', 'High price']",0.5,46,Female,2025-02-03
