id,name,address,lat,lng,description,category,sub_category,source,url,rating,review_count,like,dislike,checkin_time,checkout_time,offpeak_weekday_price_max,offpeak_weekday_price_min,offpeak_weekday_price_avg,offpeak_weekend_price_max,offpeak_weekend_price_min,offpeak_weekend_price_avg,peak_weekday_price_max,peak_weekday_price_min,peak_weekday_price_avg,peak_weekend_price_max,peak_weekend_price_min,peak_weekend_price_avg
1000101679,강릉 더원펜션,강원도 강릉시 주문진읍 해안로 1933-1,37.9020802,128.8295138,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/1000101679,4.9,2394.0,Friendly service; Cleanliness; Beautiful view; Comfortable bedding; Great barbecue,,15:00,11:00,600000,59000,145733,1152000,140000,303501,850000,92000,211533,1150000,140000,311400
10059643,강릉 브라운도트 강릉교동점,강원특별자치도 강릉시 솔올로5번길 12-3,37.76323855,128.8760596,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10059643,4.9,101.0,Cleanliness; Friendly service; Comfortable amenities; Spacious room; Affordable pricing,Freezer issues; Lack of toiletries; Limited water,16:00,11:00,151000,60000,86000,232000,126000,157000,161000,63000,88846,262000,145000,176692
10061524,강릉 오션뷰공간스테이,강원특별자치도 강릉시 주문진읍 해안로 1601,37.8790783,128.8339214,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10061524,4.4,57.0,Room condition; Ocean view; Friendly service; Spacious rooms; Convenient amenities,Privacy issues; Insufficient towels; Poor service response; Lack of facilities; Room cleanliness,15:00,11:00,500000,55000,121250,350000,80000,115000,390000,90000,130000,350000,120000,156666
1000102447,강릉 위드 호텔(강릉역점),강원도 강릉시 옥천로65번길 2-6(옥천동),37.75958543,128.8978718,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/1000102447,4.8,1155.0,Friendly service; Cleanliness; Comfortable beds; Good value; Satisfying breakfast,Uncontrollable heating,16:00,11:00,65000,40000,51250,115000,90000,101250,95000,65000,76875,140000,110000,122500
10064660,강릉 라자스테이션 강릉경포점,강원특별자치도 강릉시 창해로 437-6,37.7996868,128.9127509,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10064660,5.0,50.0,Cleanliness; Friendly service; Convenient parking; Comfortable amenities; Pleasant atmosphere,Check-in issues,16:00,11:00,65000,35000,50000,145000,85000,108571,120000,60000,85000,160000,100000,130000
3013409,스카이베이 호텔 경포,강원특별자치도 강릉시 해안로 476 (스카이베이 경포호텔),37.80423002,128.9078219,,Accommodation,프리미엄 호텔,Yanolja,https://nol.yanolja.com/stay/domestic/3013409,4.6,7071.0,Friendly service; Cleanliness; Delicious breakfast; Beautiful views; Spacious room,Expensive buffet; Limited bar access; Overheating,15:00,11:00,726000,193100,319443,968000,314600,431687,968000,336000,450062,1815000,411400,665112
10042720,SL호텔 강릉,강원도 강릉시 주문진읍 주문로 59,37.88921425,128.8254362,,Accommodation,프리미엄 호텔,Yanolja,https://nol.yanolja.com/stay/domestic/10042720,4.6,2733.0,Comfortable stay; Scenic view; Friendly staff; Tasty breakfast; Cleanliness,Inadequate bathroom; Limited parking; Missing toiletries; Lack of gym; Insufficient storage,14:00,12:00,327400,110900,191080,406600,190100,253973,436800,177300,236686,562600,200000,311706
1000139,강릉 에이치에비뉴 (H Avenue) 강릉역점,강원도 강릉시 옥천로 72-9 (교동),37.76090237,128.898666,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/1000139,4.8,148.0,Cleanliness; Comfortable bedding; Friendly service; Well-equipped room; Aesthetic appeal,Poor drainage; Small room; New building smell,18:00,12:00,110000,55000,81538,230000,110000,166153,250000,130000,178846,250000,140000,180384
10063103,강릉 사천의밤,강원특별자치도 강릉시 사천면 진리해변길 113,37.84137952,128.8751561,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10063103,4.4,34.0,Affordable price; Clean room; Spacious room; Scenic view; Quiet atmosphere,Small room size,15:00,11:00,107000,50000,67500,157000,53000,91000,127000,77000,99500,197000,77000,122000
10064399,강릉 더이스트펜션,강원특별자치도 강릉시 해안로 663-14,37.81459492,128.8936969,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10064399,4.9,9.0,Affordable pricing; Friendly service; Spacious room; Cleanliness; Comfortable bedding,,15:00,11:00,79000,59000,69600,159000,129000,144000,159000,129000,144000,219000,149000,184600
10046839,강릉 경포 호텔 마레,강원도 강릉시 창해로 443,37.80054331,128.9123291,,Accommodation,호텔,Yanolja,https://nol.yanolja.com/stay/domestic/10046839,4.7,887.0,Cleanliness; Friendly service; Scenic view; Comfortable beds; Excellent amenities,Noise; Seafood restriction,16:00,11:00,190000,60000,89912,290000,150000,181050,230000,120000,158575,290000,180000,214762
3014664,강릉 YAJA 강릉역점,강원도 강릉시 옥천로65번길 2-4 (옥천동),37.75972133,128.8981203,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3014664,4.9,257.0,Room cleanliness; Comfortable bed; Friendly service; Spacious room; Well-equipped amenities,Lack of mirror; Poor soundproofing; Noise issues; Opaque bathroom door; Inadequate lighting,16:00,11:00,105000,45000,66538,120000,120000,120000,300000,72000,113115,295000,95000,131538
10063903,강릉 스테이 리베라 stay libera,강원특별자치도 강릉시 용지로 147,37.76170484,128.9016478,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10063903,4.8,49.0,Cleanliness; Friendly service; Comfortable bedding; Sauna access; Room amenities,Weak water pressure; Inconvenient bathroom; Poor soundproofing,15:00,11:00,110000,50000,72500,190000,100000,130000,220000,100000,145000,190000,120000,138750
1000113550,강릉 올라스풀빌라,강원특별자치도 강릉시 사천면 해안로 1083-3,37.84520031,128.8689534,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/1000113550,4.5,230.0,Friendly service; Ocean view; Cleanliness; Comfortable beds; Spacious room,Humid atmosphere,15:00,11:00,525000,115000,300000,675000,235000,442500,370000,125000,239750,700000,260000,467500
1000108781,강릉 안목을높이다펜션,강원도 강릉시 창해로 27,37.77429703,128.944387,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/1000108781,4.8,1063.0,Cleanliness; Friendly service; Scenic view; Comfortable bed; Quality amenities,Privacy issue; Small kitchen; Weak water pressure,15:00,11:00,290000,75000,157437,590000,149000,276687,790000,180000,316875,790000,180000,315000
10051273,강릉 넘버25 강릉역점,강원도 강릉시 옥가로 39,37.76001459,128.8994872,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10051273,4.9,425.0,Cleanliness; Comfortable bedding; Friendly service; Modern amenities; Quiet atmosphere,Noise disturbances; Poor soundproofing; Stained bedding,16:00,12:00,81000,50000,68863,165000,105000,142636,160000,90000,127181,160000,85000,124818
3013306,강릉 더샾호텔,강원도 강릉시 동부시장길 35 (옥천동),37.7610718,128.9006333,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3013306,4.8,2082.0,Cleanliness; Friendly staff; Affordable pricing; Spacious room; Good facilities,Poor soundproofing; Cold room,16:00,11:00,75000,45000,60000,155000,105000,125000,160000,110000,133333,160000,105000,130000
1000103506,강릉 경포수호텔,강원도 강릉시 창해로 439,37.80025345,128.9124994,,Accommodation,호텔,Yanolja,https://nol.yanolja.com/stay/domestic/1000103506,4.6,1007.0,Friendly staff; Clean rooms; Excellent amenities; Spacious rooms; Great view,Outdated facilities; Lack of amenities; Modest appearance,15:00,11:00,150000,70000,117666,350000,170000,263333,240000,100000,184666,400000,180000,309333
10056667,강릉 경포대 라벨르,강원특별자치도 강릉시 경포로 489-12,37.80404682,128.9039403,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10056667,5.0,314.0,Cleanliness; Friendly service; Complimentary amenities; Comfortable room; Value for money,Small room size,16:00,11:00,95000,55000,68000,175000,125000,139428,175000,125000,140142,180000,126000,142285
10064444,강릉 테라머뭄176,강원특별자치도 강릉시 옥계면 금진뒷길 84-2,37.64067824,129.04275,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10064444,5.0,1.0,Cleanliness; Friendly service; Ocean view; Trendy interior,,15:00,11:00,227000,65500,127681,265000,160500,218363,379000,189000,284000,474000,246000,361727
10051926,강릉 고즈넉한주문펜션,강원도 강릉시 주문진읍 해안로 1867,37.89824413,128.8341529,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10051926,4.9,208.0,Beautiful view; Cleanliness; Cozy atmosphere; Friendly service; Pet-friendly,Poor soundproofing; Inconvenient hot water; Lack of facilities,15:00,11:00,162000,135000,142200,261000,225000,235800,240000,190000,214000,320000,250000,277000
1000068,강릉 경포대 빅토리아,강원도 강릉시 경포로475번길 21 (안현동),37.80344898,128.9019867,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/1000068,4.7,2038.0,Friendly service; Value for money; Cleanliness; Spacious room; Comfortable bedding,Poor soundproofing; Smoke odor,15:00,11:00,75000,35000,52000,130000,70000,93000,115000,55000,77000,155000,75000,107000
1000100525,강릉 음악시간스파펜션,강원도 강릉시 사천면 해안로 1151,37.84918829,128.8629466,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/1000100525,4.5,1073.0,Cleanliness; Friendly service; Spacious spa; Good value; Relaxing atmosphere,Inadequate drainage; Inadequate security; Worn bedding,15:00,11:00,119000,79000,95666,199000,159000,179000,199000,159000,179000,199000,159000,179000
10041249,강릉 H Avenue 강릉경포점,강원도 강릉시 창해로 423,37.79927969,128.913872,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10041249,4.8,1121.0,Cleanliness; Scenic view; Attentive service; Convenient amenities; Spacious room,Poor soundproofing; Stained bedding; Disinfectant smell,15:00,11:00,121000,42500,79208,226000,112200,176791,231000,112200,180125,248000,130900,197333
3008141,강릉관광호텔,강원도 강릉시 금성로 62,37.75179539,128.8946313,,Accommodation,2성급 호텔,Yanolja,https://nol.yanolja.com/stay/domestic/3008141,4.7,1926.0,Friendly staff; Cleanliness; Comfortable atmosphere; Delicious breakfast; Affordable price,Inefficient heating; Noisy hallway; Small room size,15:00,11:00,141000,76000,104307,200000,126000,158092,180000,106000,140692,210000,143550,171935
10045339,강릉 무아풀빌라,강원도 강릉시 주문진읍 해안로 1627,37.88080633,128.8324665,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10045339,4.6,38.0,Scenic view; Beautiful design; Friendly service; Pleasant experience; Cleanliness,Difficult parking; Expensive charges; No cooking facilities,15:00,11:00,295000,105000,172333,525000,259000,371222,399000,169000,267444,799000,255000,415666
10063700,신라모노그램 강릉 레지던스,강원특별자치도 강릉시 해안로 210 (단독형생활숙박시설),37.78597175,128.9260794,,Accommodation,호텔,Yanolja,https://nol.yanolja.com/stay/domestic/10063700,4.4,152.0,Cleanliness; Friendly staff; Ocean view; Affordable pricing; Excellent facilities,Inexperienced service; Limited breakfast; Shower overflow,15:00,11:00,715000,220000,382777,858000,363000,525777,858000,363000,525777,979000,484000,646777
3000460,강릉 경포대 에이제이 호텔,강원도 강릉시 경포로475번길 42 (안현동),37.8053625,128.9023403,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3000460,4.3,1360.0,Friendly service; Room cleanliness; Spacious room; Good value; Convenient amenities,Limited TV options; Weak water pressure; Poor soundproofing; No toiletries; Weak air conditioning,16:00,11:00,199000,69000,114000,399000,159000,241500,449000,174000,284000,449000,174000,284000
100102,강릉 경포대 파라다이스,강원특별자치도 강릉시 창해로 291,37.78992728,128.9223484,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/100102,4.7,3110.0,Friendly service; Cleanliness; Affordable price; Room comfort; Value for money,Dated facilities; Poor soundproofing; Bathroom amenities,15:00,11:00,60000,30000,38000,95000,65000,75000,65000,35000,44000,110000,80000,90000
10058316,강릉 ST153,강원특별자치도 강릉시 하남길 327,37.80764173,128.8991796,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10058316,4.8,18.0,Cleanliness; Comfortable stay; Spaciousness; Good facilities; Scenic view,Small pool; Unclean air filter,15:00,11:00,159000,69000,114000,260100,170100,215100,260100,170100,215100,289000,179100,227050
10065274,강릉 호텔 감재,강원특별자치도 강릉시 옥천로62번길 12,37.76061368,128.8993901,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10065274,5.0,10.0,Friendly service; Cleanliness; Comfortable room; Pleasant atmosphere; Modern facilities,,15:00,11:00,150000,60000,98333,269000,130000,184833,199000,99000,142333,270000,130000,195000
3010391,강릉 경포대 큐브,강원도 강릉시 창해로 431 (강문동),37.79980683,128.9132033,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3010391,4.4,2070.0,Cleanliness; Friendly service; Scenic view; Well-stocked amenities; Quiet atmosphere,Damaged screen; Insufficient slippers; Poor soundproofing,16:00,11:00,75000,40500,61100,182000,108900,154180,160000,89100,132620,209000,128700,177740
10057059,강릉 더강릉오션스테이 First,강원특별자치도 강릉시 사천면 진리항구2길 5 (컨피네스 오션스위트),37.83658784,128.8746677,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10057059,4.9,130.0,Spacious rooms; Cleanliness; Comfortable bedding; Comprehensive amenities; Good value,Damaged screen door; Insufficient supplies,15:00,11:00,999990,118000,198404,999990,229000,387829,669000,169000,371914,669000,229000,431127
10047944,강릉 메르뷰펜션,강원도 강릉시 해안로 659,37.8147154,128.8946524,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10047944,4.4,205.0,Scenic view; Spacious room; Aesthetic design; Clean amenities; Proximity to beach,Outdated bathroom; Low water pressure; Unclean linens; Insufficient supplies; Sandy sofa,15:00,11:00,119000,59000,99000,246510,137610,210210,149000,79000,125170,226710,139000,197473
10041156,강릉 스카리아풀빌라,강원도 강릉시 난설헌로 261,37.79535214,128.9159998,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10041156,4.8,268.0,Friendly service; Comfortable bedding; Cleanliness; Spacious room; Well-equipped amenities,High fees; Inconsistent water temperature; Privacy concerns; Weak shower pressure; Strict policies,15:00,11:00,299000,99000,159833,449000,229000,289000,399000,229000,279715,449000,222130,300590
10060075,강릉 오릿,강원특별자치도 강릉시 주문진읍 해안로 1887,37.89969371,128.83382,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10060075,5.0,105.0,Cleanliness; Beautiful view; Friendly service; Comfortable atmosphere; Well-equipped amenities,Weak water pressure; Uncomfortable bed; Limited jacuzzi availability,15:00,11:00,275000,165000,195363,381220,263620,295692,389000,183330,247099,469000,290030,356359
10048319,강릉 더뷰펜션,강원도 강릉시 주문진읍 해안로 1999,37.90618481,128.8265179,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10048319,4.9,219.0,Beautiful view; Cleanliness; Comfortable bed; Relaxing atmosphere; Quality amenities,Lack of toothbrush; Limited view; Low water pressure,15:00,11:00,600000,65000,194230,1176000,147000,401058,873000,90000,275180,1170000,150000,402489
3001945,강릉 호텔 아리아 강릉경포점,강원도 강릉시 해안로 541 (안현동),37.80702051,128.9026785,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3001945,5.0,34.0,Cleanliness; Friendly service; Comfortable bedding; Good value; Room amenities,Insufficient soundproofing; Small bathroom,16:00,11:00,65000,65000,65000,115000,115000,115000,120000,120000,120000,120000,120000,120000
3013024,강릉 피어86스파펜션,강원특별자치도 강릉시 사천면 진리항구길 19,37.83559882,128.8745483,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/3013024,4.4,1289.0,Cleanliness; Friendly service; Good value; Scenic views; Spaciousness,Inconvenient bathroom; Limited power outlets; Overheating issue; Limited ocean view; Cold floor,15:00,11:00,78000,58000,66571,178000,158000,166571,99000,79000,87571,208000,159000,173142
10046070,강릉 주문진M9펜션,강원도 강릉시 주문진읍 해안로 1921,37.90150539,128.8306598,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10046070,4.6,233.0,Scenic view; Friendly service; Cleanliness; Comfortable experience; Excellent location,Broken air conditioning; Dated condition,15:00,11:00,131000,51000,73500,265000,131000,172750,181000,101000,124500,265000,135000,174750
10064446,강릉 경포 블루비치펜션,강원특별자치도 강릉시 해안로 655,37.81462478,128.8950217,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10064446,4.9,12.0,Cleanliness; Comfort; Proximity to sea; Quiet and spacious; Swimming pool,,15:00,11:00,122500,46500,81500,145300,68400,101678,110200,41800,73310,190000,104500,141500
10044360,강릉 컨피네스 오션 스위트,강원도 강릉시 사천면 진리항구2길 5,37.83658784,128.8746677,,Accommodation,호텔,Yanolja,https://nol.yanolja.com/stay/domestic/10044360,4.6,541.0,Room cleanliness; Comfortable atmosphere; Scenic view; Spacious room; Affordable pricing,Cold hallway; Inadequate seating; Insect presence,15:00,11:00,229900,105620,178743,522500,200000,327990,574750,200000,362411,950000,200000,552941
3013122,강릉 경포엔펜션,강원특별자치도 강릉시 저동골길 113-6,37.80459525,128.8914911,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/3013122,4.8,128.0,Friendly service; Cleanliness; Spacious room; Comfortable bedding; Well-equipped amenities,Invasive service; Lack of elevator; Unfriendly staff,15:00,11:00,90000,60000,74285,158400,128700,142842,110000,59400,82542,160000,130000,144085
10055818,강릉 바다숨펜션,강원특별자치도 강릉시 해안로 663-10,37.81483626,128.8939541,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10055818,4.9,130.0,Cleanliness; Comfortable amenities; Scenic views; Friendly service; Spacious rooms,Unpleasant check-in,15:00,11:00,105000,75000,87400,249000,169000,218800,279000,79000,228200,275000,169000,237200
10051477,강릉 스테이구구펜션,강원도 강릉시 주문진읍 해안로 1929,37.90187354,128.8302156,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10051477,4.7,120.0,Cleanliness; Ocean view; Comfortable room; Friendly staff; Good value,,15:00,11:00,110000,66000,83250,197100,143100,170950,219000,101370,148093,249000,189000,212750
3012282,강릉 경포로사풀빌라,강원특별자치도 강릉시 안현로 284,37.80590822,128.8894205,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/3012282,4.8,435.0,Cleanliness; Comfortable amenities; Friendly service; Spaciousness; Good value,Additional charges; Small pool size; Humid atmosphere,15:00,11:00,145000,95000,128333,251000,191000,231000,199000,135000,169333,269000,209000,249000
3017781,강릉 아스라,강원도 강릉시 옥천로 72-3 (교동),37.76048698,128.8982306,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3017781,4.7,1909.0,Cleanliness; Comfortable stay; Friendly service; Convenient check-in; Affordable price,Lack of towels; Showerhead issues,16:00,12:00,75000,35000,51875,125000,70000,93125,125000,70000,93125,130000,70000,97500
10065425,강릉 다케노모리글램핑&료칸,강원특별자치도 강릉시 주문진읍 거문동길 197 (주1동),37.8927006,128.800925,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10065425,5.0,4.0,Clean interior; Enjoyable barbecue; Family-friendly; Pleasant atmosphere; Spacious parking,,15:00,11:00,329000,140000,218000,555000,192000,328285,555000,192000,328285,555000,192000,328285
10053607,강릉 브라운도트 호텔 강릉역점,강원특별자치도 강릉시 동부시장길 14,37.75914833,128.9004931,,Accommodation,호텔,Yanolja,https://nol.yanolja.com/stay/domestic/10053607,4.7,88.0,Comfortable bedding; Tasty breakfast; Complimentary amenities; Friendly service; Spacious room,No view; Small room; Shared microwave,16:00,12:00,160000,80000,115000,310000,150000,216153,310000,150000,216923,290000,130000,196153
3006020,강릉 로제펜션,강원특별자치도 강릉시 연곡면 홍질목길 55-21,37.8638222,128.8429376,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/3006020,4.7,444.0,Friendly service; Cleanliness; Scenic view; Spacious room; Barbecue facilities,Spa malfunction,15:00,11:00,116000,60000,87333,281300,126000,187516,200000,59520,94246,290000,130000,188200
10044786,강릉 망상비치호텔,강원도 강릉시 옥계면 도직길 7-22,37.60647919,129.0689531,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10044786,5.0,205.0,Cleanliness; Friendly service; Scenic view; Affordability; Comfort,Outdated facilities; Poor soundproofing; Weak water pressure,17:00,12:00,100000,45000,68750,150000,85000,106250,100000,60000,72500,180000,85000,112500
10063965,강릉 아가바라,강원특별자치도 강릉시 강릉대로 265-6,37.76169353,128.8981039,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10063965,4.1,18.0,Friendly service; Cleanliness; Comfortable beds; Cozy atmosphere; Good value,Bedding issues; Cleanliness problems; Poor service; Ineffective air conditioning; Small room size,16:00,11:00,99000,39000,58600,149000,59000,82200,119000,49000,69800,179000,89000,112200
10065181,강릉 호텔 인,강원특별자치도 강릉시 옥천로62번길 10,37.760412,128.8993783,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10065181,4.7,13.0,Friendly service; Cleanliness; Comfortable atmosphere; Well-maintained facilities; Recent renovation,Lack of curtains; Inconsistent shower pressure; Small room size,16:00,11:00,120000,55000,73571,108000,60000,77571,144000,85000,104857,144000,85000,104857
10057228,강릉(주문진) 루시아호텔,강원특별자치도 강릉시 주문진읍 해안로 1811,37.89504925,128.8327936,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10057228,4.7,158.0,Cleanliness; Comfortable bed; Attentive service; Scenic view; Quiet atmosphere,Limited toiletries; Lack of air conditioning; Value for money,16:00,11:00,150000,75000,115000,260000,155000,208333,280000,155000,219444,300000,175000,240555
1000103201,강릉 린펜션,강원특별자치도 강릉시 사천면 해안로 1026-33,37.84170184,128.8732435,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/1000103201,4.8,117.0,Beautiful view; Friendly service; Room comfort; Aesthetic decor; Well-maintained facilities,,15:00,10:30,156000,96000,133250,256000,196000,233250,276000,216000,253250,276000,216000,253250
10060848,강릉 나이아드펜션,강원특별자치도 강릉시 경포로463번길 33,37.80416547,128.9028361,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10060848,4.3,56.0,Cleanliness; Friendly service; Affordable pricing; Comfortable accommodation; Good value,Low water pressure,15:00,11:00,150000,35000,52386,171000,57000,74193,171000,57000,73505,190000,70000,86659
27046,강릉 센트럴,강원도 강릉시 강릉대로228번길 15,37.7575658,128.8963746,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/27046,4.9,1419.0,Cleanliness; Comfortable room; Delicious breakfast; Soundproofing; Value for money,Air conditioning issues; Bathroom light problems; Uncomfortable pillow,16:00,11:00,60000,40000,49166,100000,80000,90000,80000,60000,69166,110000,80000,92500
10060859,강릉 레이벨류스파펜션(안목 커피거리),강원특별자치도 강릉시 창해로14번길 50,37.77076986,128.9496871,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10060859,4.9,74.0,Cleanliness; Beautiful view; Comfortable bedding; Friendly service; Pleasant atmosphere,Lack of privacy; Static electricity; Unclean bedding,15:00,11:00,189000,109000,153736,319000,209000,270052,189000,109000,153736,319000,209000,270052
